passenger_id,passenger_gender,passenger_age,age_group,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Class,PassengerKey
M7GEYsIMUHKNQ/vUj+tskPVAZQxzLDpIdJ6swM5ayHY=,Male,28,Young Adults (18-34),92,1,1167300,4,1,2,412,7,Loyal,57
6ujN6zmv1aFV0yVATA/vOsurzLnaPNWvjsoclkJkVHw=,Male,53,Adults (35-59),92,1,1556400,4,1,2,412,7,Loyal,58
hHHxb2LExRUO5n3zYMmiRhsa2Cn4MPr8ZJSGa5xRfC4=,Male,27,Young Adults (18-34),55,8,10955100,3,3,4,334,10,Champions,59
hHHxb2LExRUO5n3zYMmiRhsa2Cn4MPr8ZJSGa5xRfC4=,Male,43,Adults (35-59),55,8,10955100,3,3,4,334,10,Champions,60
BOGPCw+c2oSUbAmC5B2sIp39gOvQV4V3gIO9EMNH/LM=,Male,21,Young Adults (18-34),92,1,1412400,4,1,2,412,7,Loyal,61
XxeIKsCH0vjFARa7mNkOYlTvZ1XqBLO/2K+6K6hn678=,Male,33,Young Adults (18-34),72,4,4126930,4,2,4,424,10,Champions,62
UzbXJfYFoorXFtLeX8iY/tBpOV3G7YdJq7/UyoySxAc=,Female,22,Young Adults (18-34),42,7,8391280,2,3,4,234,9,Loyal,63
2Ck0fzaqWlUR+WcMibM6DZF7GM3upFhRAgs9stewE+U=,Male,54,Adults (35-59),50,8,6188300,3,3,4,334,10,Champions,64
Hxs6j/KgO6bQAs+FiyXrP7g6znCafKScMkaDbuAyQ4w=,Female,39,Adults (35-59),46,4,4119600,3,2,4,324,9,Loyal,65
/SJn2Cv9dqKbOmDEmEF+dUmWqQm6ZIxMBz5lBAA/7Lc=,Male,34,Young Adults (18-34),92,12,8565200,4,3,4,434,11,Champions,66
/SJn2Cv9dqKbOmDEmEF+dUmWqQm6ZIxMBz5lBAA/7Lc=,Female,34,Young Adults (18-34),92,12,8565200,4,3,4,434,11,Champions,67
/SJn2Cv9dqKbOmDEmEF+dUmWqQm6ZIxMBz5lBAA/7Lc=,Female,3,Children (0-12),92,12,8565200,4,3,4,434,11,Champions,68
eddVDa08y7wTV/IInC8G6kNSccV47sxMmhVt52xNf2k=,Female,30,Young Adults (18-34),92,3,3310880,4,2,3,423,9,Loyal,69
eddVDa08y7wTV/IInC8G6kNSccV47sxMmhVt52xNf2k=,Male,34,Young Adults (18-34),92,3,3310880,4,2,3,423,9,Loyal,70
S5ifKr4EO422IeNEH45vla89Hz7vHJRKDBOg1iXYzJM=,Female,20,Young Adults (18-34),35,5,4498430,2,3,4,234,9,Loyal,71
4BzIIOzqRGG7BfE8sQGxQ0A9qyXUPsxx9S+ovZbn+T0=,Male,28,Young Adults (18-34),88,6,7934200,4,3,4,434,11,Champions,72
oxKwVarWzvWghBVglxw6IPO072YhcNh4cPZdttzdDYQ=,Female,52,Adults (35-59),84,20,28101610,4,3,4,434,11,Champions,73
J/qqu/ieTa9Zmdy8trs0SDuRZdjC00ZTfeiuD03o5so=,Male,23,Young Adults (18-34),92,1,1207000,4,1,2,412,7,Loyal,74
UPkG3UmpK88768tMUB9rSPQShzjQKRRgh/Hj/bFNSxo=,Female,22,Young Adults (18-34),75,6,8454190,4,3,4,434,11,Champions,75
+mzwrEWTBaZKvjjt6Xw652brbS1hDqCU6ZU+Fx/iIB0=,Male,30,Young Adults (18-34),26,15,13952100,1,3,4,134,8,Loyal,76
Thk7h4nhLyCwOOcTMwyk15GZ1unyzAeyLK8Leeaury4=,Male,26,Young Adults (18-34),92,1,700560,4,1,1,411,6,Potential,77
NefTSmKDiWT+E+0IubxsZqmGdr37cEnM06m17vJp0HM=,Male,34,Young Adults (18-34),91,4,3491170,4,2,3,423,9,Loyal,78
NefTSmKDiWT+E+0IubxsZqmGdr37cEnM06m17vJp0HM=,Female,31,Young Adults (18-34),91,4,3491170,4,2,3,423,9,Loyal,79
EJbo3aByVgRaR17F5puxTLmSxFe+Bwle7KVRQVkqWXU=,Female,26,Young Adults (18-34),92,2,2038700,4,1,3,413,8,Loyal,80
EJbo3aByVgRaR17F5puxTLmSxFe+Bwle7KVRQVkqWXU=,Male,28,Young Adults (18-34),92,2,2038700,4,1,3,413,8,Loyal,81
z0lq5Ox5Z8pyBMyTboy66/WK5yFnGln1p7BKNkC1SUA=,Male,25,Young Adults (18-34),92,2,1816200,4,1,2,412,7,Loyal,82
z0lq5Ox5Z8pyBMyTboy66/WK5yFnGln1p7BKNkC1SUA=,Female,24,Young Adults (18-34),92,2,1816200,4,1,2,412,7,Loyal,83
tM5V9CM0pdt/uU8GLKaQnnlRskLlpOxihOlIafbSBdI=,Male,29,Young Adults (18-34),92,6,6204800,4,3,4,434,11,Champions,84
tM5V9CM0pdt/uU8GLKaQnnlRskLlpOxihOlIafbSBdI=,Female,26,Young Adults (18-34),92,6,6204800,4,3,4,434,11,Champions,85
BUT/AEm8gfcod3Qm+9raltfzhpOSM7/6QwyUZekUDH4=,Male,50,Adults (35-59),9,13,13462620,1,3,4,134,8,Loyal,86
/yUlufxTP/2PIK1sTmm11WuU8IGuS0fDJIxg+8LZ76E=,Female,52,Adults (35-59),9,6,4311190,1,3,4,134,8,Loyal,87
6H2HWFgugmDh6Qj6rjxSK6w/k5Y4Pb8BvQtgUCPNUns=,Female,23,Young Adults (18-34),92,1,871090,4,1,1,411,6,Potential,88
JNIlJbsWxnpQTL+bflnc+uS4Y3aLT/W289r/XQyN0R8=,Male,39,Adults (35-59),25,23,23998620,1,3,4,134,8,Loyal,89
hVNnXB2o5LwjvRL7hUQF/EaF+tAhNIb/a6d9RMrwE0s=,Female,37,Adults (35-59),92,1,1213600,4,1,2,412,7,Loyal,90
0pTtS93Exd0SljjPPVSMepwkUIiXSBrGwYkzFw8ciPQ=,Male,60,Seniors (60+),90,6,7737670,4,3,4,434,11,Champions,91
P+5jeV8YYZ+dWxF/rM2tIbG3tXhrDVDSdDDZ+blK9HY=,Male,24,Young Adults (18-34),92,1,1051380,4,1,1,411,6,Potential,92
wkj7BEE8JcCWwW+UOcOSMykErggta3Cedtlb+wCxmJo=,Male,86,Seniors (60+),42,36,52283660,2,3,4,234,9,Loyal,93
wkj7BEE8JcCWwW+UOcOSMykErggta3Cedtlb+wCxmJo=,Male,27,Young Adults (18-34),42,36,52283660,2,3,4,234,9,Loyal,94
7i6mX/XyQX/9OTf7zo4FFBNjXsLJtnHFGxfh+IuLm1I=,Female,22,Young Adults (18-34),90,2,2439600,4,1,3,413,8,Loyal,95
ia9pIfKcJLo3jHfXC/FtMcLz+/zArt7XTgRZXR3A0L4=,Male,31,Young Adults (18-34),92,2,1401120,4,1,2,412,7,Loyal,96
ia9pIfKcJLo3jHfXC/FtMcLz+/zArt7XTgRZXR3A0L4=,Female,25,Young Adults (18-34),92,2,1401120,4,1,2,412,7,Loyal,97
dw8Z3j6rCL8QrFa8qm2Lwf9gJEtG/bt54LKjwTy2Xwc=,Female,64,Seniors (60+),92,1,1234800,4,1,2,412,7,Loyal,98
7vFhwJAPgOr1W5xCMUiE+yBQeXBC+oiw5EzyaT+a/yE=,Male,28,Young Adults (18-34),14,9,8923800,1,3,4,134,8,Loyal,99
7vFhwJAPgOr1W5xCMUiE+yBQeXBC+oiw5EzyaT+a/yE=,Female,31,Young Adults (18-34),14,9,8923800,1,3,4,134,8,Loyal,100
cHap/51F01YfgDI0IDF9/6970cOkCMWNd3wQQQr0MIQ=,Female,20,Young Adults (18-34),31,5,5656880,2,3,4,234,9,Loyal,101
O6rV/g/SHMBSB32zxIbNUlzp3JDmZysANeswOUyc5d4=,Male,23,Young Adults (18-34),92,1,1207690,4,1,2,412,7,Loyal,102
xLABfroiQJ/sR8qpoIEuuatqViDU2WYVZhWv8BFh78M=,Male,26,Young Adults (18-34),92,2,2678000,4,1,3,413,8,Loyal,103
nElX/I8BEi3E4rGKdEAbYMCJuShGjV7AKiKr9Y+g4U0=,Female,62,Seniors (60+),65,5,4121420,4,3,4,434,11,Champions,104
SaJmb8TalVvw82ckMYPCIN9MQyRnlU/GzrXPnOkigOE=,Female,29,Young Adults (18-34),92,3,3842650,4,2,4,424,10,Champions,105
SaJmb8TalVvw82ckMYPCIN9MQyRnlU/GzrXPnOkigOE=,Female,42,Adults (35-59),92,3,3842650,4,2,4,424,10,Champions,106
SaJmb8TalVvw82ckMYPCIN9MQyRnlU/GzrXPnOkigOE=,Female,27,Young Adults (18-34),92,3,3842650,4,2,4,424,10,Champions,107
0pTtS93Exd0SljjPPVSMepwkUIiXSBrGwYkzFw8ciPQ=,Female,40,Adults (35-59),90,6,7737670,4,3,4,434,11,Champions,108
wEhjnGDWXYbKR8dS2tHRymOxRLziRfA6O/HZVFCnlBI=,Female,46,Adults (35-59),25,10,9656100,1,3,4,134,8,Loyal,109
wEhjnGDWXYbKR8dS2tHRymOxRLziRfA6O/HZVFCnlBI=,Female,51,Adults (35-59),25,10,9656100,1,3,4,134,8,Loyal,110
0pTtS93Exd0SljjPPVSMepwkUIiXSBrGwYkzFw8ciPQ=,Male,65,Seniors (60+),90,6,7737670,4,3,4,434,11,Champions,111
0pTtS93Exd0SljjPPVSMepwkUIiXSBrGwYkzFw8ciPQ=,Male,53,Adults (35-59),90,6,7737670,4,3,4,434,11,Champions,112
0pTtS93Exd0SljjPPVSMepwkUIiXSBrGwYkzFw8ciPQ=,Female,64,Seniors (60+),90,6,7737670,4,3,4,434,11,Champions,113
V1v/tXuGwF0W8nnhyhenrn/amhHIYrkFcH5pLJES0fE=,Male,26,Young Adults (18-34),87,8,6741830,4,3,4,434,11,Champions,114
V1v/tXuGwF0W8nnhyhenrn/amhHIYrkFcH5pLJES0fE=,Male,28,Young Adults (18-34),87,8,6741830,4,3,4,434,11,Champions,115
8mq7smvxoAlubiqxBJSq+n2MjpweRhZGHux4CHBSwQc=,Male,27,Young Adults (18-34),91,1,1672330,4,1,2,412,7,Loyal,116
f0Oj/36ufsDZK0BI7xJnqBPVxKLBkI0G6zknU0RO+yc=,Female,54,Adults (35-59),58,14,16234670,3,3,4,334,10,Champions,117
FXW90/r40fpn/qIEEfnItwHFt3xixRFN32fSwwanW88=,Female,28,Young Adults (18-34),33,11,15745500,2,3,4,234,9,Loyal,118
768zOoeFuXP9ZDCPls1L/eQP9FbTYuJ3ye8hjakZB1E=,Male,64,Seniors (60+),91,1,1965600,4,1,3,413,8,Loyal,119
fS44fyYGCuSUY8eqArRpERtxptIiBKIjjy4JZtMDG1o=,Male,21,Young Adults (18-34),91,2,1461420,4,1,2,412,7,Loyal,120
M5NBgR50WNO9aLhOrD+EK7HKwBIYs5eqbBDEEb2rryc=,Male,28,Young Adults (18-34),91,2,1786180,4,1,2,412,7,Loyal,121
INAYSYNK1MZgIMfwh1ckE3U2CdtoTaRqqUeEaiW56aU=,Female,28,Young Adults (18-34),27,2,1612790,2,1,2,212,5,Potential,122
H72SLbMrpBIPOeD09Snybjf3XUlMN7IBKs2fZYXM0mA=,Female,31,Young Adults (18-34),19,4,3198880,1,2,3,123,6,Potential,123
mvxnCR5IGypGudughgMWfTzpYvoBcvGWMgWDb0ANYdE=,Male,25,Young Adults (18-34),76,3,2743070,4,2,3,423,9,Loyal,124
GidJmlSAI3oct6rqL2Z3SKhUyekjYWsyznB9cfHhg2o=,Female,27,Young Adults (18-34),91,2,2216940,4,1,3,413,8,Loyal,125
g4sPAudyIH8gxW2mBGC+QLnP8BA28IgtpLob8gi07Jw=,Male,27,Young Adults (18-34),91,1,811900,4,1,1,411,6,Potential,126
1Qx6s+ksp+8yqx/KGf0Atuih6BqnxsRy0fqvY7S6sLI=,Female,30,Young Adults (18-34),91,2,1867370,4,1,2,412,7,Loyal,127
NaJb5jF+d1npOmnQJ3Ja0mlfeMWqeM0wyK6Zao4ul3w=,Female,26,Young Adults (18-34),91,2,2235200,4,1,3,413,8,Loyal,128
lyxk/92xWjGZhdLo1rldwhpQ6AiCIyK+QL1VX5GIZDM=,Female,37,Adults (35-59),91,2,1299040,4,1,2,412,7,Loyal,129
/XU0KCANeBj7CsdUoiynfBmWmTPLQIfjAjvBec188ek=,Female,24,Young Adults (18-34),91,1,631200,4,1,1,411,6,Potential,130
lyxk/92xWjGZhdLo1rldwhpQ6AiCIyK+QL1VX5GIZDM=,Female,38,Adults (35-59),91,2,1299040,4,1,2,412,7,Loyal,131
q5orWxj86/HTfoFlw5LpJ8BPKFRKmDmjXWg7I3VhGgc=,Female,19,Young Adults (18-34),30,4,3808190,2,2,4,224,8,Loyal,132
NjiK/MMGVt6/X54r/4eAxs2nOIJwoojlBiLgxessbgc=,Female,20,Young Adults (18-34),91,1,811900,4,1,1,411,6,Potential,133
1Qx6s+ksp+8yqx/KGf0Atuih6BqnxsRy0fqvY7S6sLI=,Female,27,Young Adults (18-34),91,2,1867370,4,1,2,412,7,Loyal,134
LZMDTegC9BPu5bDt7vIVAT7Joa492FteIk8AQ0qZId8=,Male,28,Young Adults (18-34),91,2,2361520,4,1,3,413,8,Loyal,135
Q9rq/ZJk4ygKAkE9b0kUV1LtsHl+LflvlNCiV08NHIg=,Female,71,Seniors (60+),21,6,3822630,1,3,4,134,8,Loyal,136
Q9rq/ZJk4ygKAkE9b0kUV1LtsHl+LflvlNCiV08NHIg=,Male,73,Seniors (60+),21,6,3822630,1,3,4,134,8,Loyal,137
3zm7k1KwrocHF3xdZ4UawYgpvyo58JCiZfv4iq3BLXM=,Male,25,Young Adults (18-34),91,2,1803800,4,1,2,412,7,Loyal,138
7vSazG+cGEdRgYYraBH7QF+oMBKC6M2fYkl0+5/78KA=,Female,57,Adults (35-59),91,2,1803800,4,1,2,412,7,Loyal,139
7vSazG+cGEdRgYYraBH7QF+oMBKC6M2fYkl0+5/78KA=,Female,33,Young Adults (18-34),91,2,1803800,4,1,2,412,7,Loyal,140
MjY6huUl7QYrS4yyRTpG4sE3C+T83GWxuSQBXl0JNgY=,Female,60,Seniors (60+),61,88,101987250,3,3,4,334,10,Champions,141
MjY6huUl7QYrS4yyRTpG4sE3C+T83GWxuSQBXl0JNgY=,Female,59,Adults (35-59),61,88,101987250,3,3,4,334,10,Champions,142
MjY6huUl7QYrS4yyRTpG4sE3C+T83GWxuSQBXl0JNgY=,Female,37,Adults (35-59),61,88,101987250,3,3,4,334,10,Champions,143
/35LZCmSBHAtFjc58nmm8oSZpqblurtXH3MtcteZUdU=,Female,32,Young Adults (18-34),91,4,5142950,4,2,4,424,10,Champions,144
MjY6huUl7QYrS4yyRTpG4sE3C+T83GWxuSQBXl0JNgY=,Female,19,Young Adults (18-34),61,88,101987250,3,3,4,334,10,Champions,145
xjZKTf1iDSkYWuXA6I121QPur1tMuBtCX0JLBTVYij0=,Male,68,Seniors (60+),1,8,9554680,1,3,4,134,8,Loyal,146
1Jo6GLzYXl1jj3m5atUuCZci7rjhRyM2bGCw8SIHXBc=,Male,34,Young Adults (18-34),56,9,8959400,3,3,4,334,10,Champions,147
jAqwGyDY2SoG9i04/RX9rx1sYHRUWeKXzkPhU1LDwFc=,Female,20,Young Adults (18-34),90,2,2389520,4,1,3,413,8,Loyal,148
J6ElGDK2VQmBvFunFvYy84+I6QNlwa6l8Ugm2P0Unn8=,Female,24,Young Adults (18-34),76,4,4222410,4,2,4,424,10,Champions,149
07guxYakL0Jr4P58qvpdO04IU4A7AHyPDLRbFcze0Z8=,Male,28,Young Adults (18-34),38,3,4203870,2,2,4,224,8,Loyal,150
wrV/1H43u9cICcd2JtLfxF0IjD/M7B3HBntWh5K2Uhg=,Male,26,Young Adults (18-34),91,1,1211880,4,1,2,412,7,Loyal,151
F93nlCWeWdxp8ti0Zn3SqdBwXrHtlbiXYUkkCZTSfVI=,Male,25,Young Adults (18-34),2,70,87798900,1,3,4,134,8,Loyal,152
xjZKTf1iDSkYWuXA6I121QPur1tMuBtCX0JLBTVYij0=,Female,37,Adults (35-59),1,8,9554680,1,3,4,134,8,Loyal,153
a2STq5FIUlRRcX1RiU9oS7TU3dG7R4Cl9kjrtQqCuWg=,Female,20,Young Adults (18-34),90,3,3089770,4,2,3,423,9,Loyal,154
pRfCEha3yOtSPg68zpaPNNfv9Mu/tvHOt7Zz86yExq0=,Female,24,Young Adults (18-34),89,3,4387310,4,2,4,424,10,Champions,155
t4xTJKodfXweUI35XUR4obPPly4UpIjxTShYf+eUxuQ=,Female,38,Adults (35-59),41,4,2925710,2,2,3,223,7,Loyal,156
+yAj5Q+CcRQSCc0bcHWyC46s0r4qRqSFRWAyZYORN/o=,Male,27,Young Adults (18-34),91,1,888000,4,1,1,411,6,Potential,157
UKJo9vjC+w8Zj+xxTOWVXl2UqSn42OwEr47lO85pKOo=,Female,19,Young Adults (18-34),91,2,1711100,4,1,2,412,7,Loyal,158
8Fvw4aOd0xZirGy5TcXsQ8F9gocKPSBT/IWikbupu9g=,Female,17,Teenagers (13-17),59,6,4627720,3,3,4,334,10,Champions,159
BU9c6J/5S2i03R68X8RMAt1hLyAOOyPLTt2kUT+bhy0=,Female,34,Young Adults (18-34),62,7,4810870,4,3,4,434,11,Champions,160
7MHTyxXVgw06aWI7UyjJojbXcNSAZ7IVQKKPA3OC4ZM=,Female,29,Young Adults (18-34),1,588,602331010,1,3,4,134,8,Loyal,161
i0EIIYR+5Um9ieSXjJ9fgUnnnjnAp0dQagpBsjpWP/A=,Male,24,Young Adults (18-34),2,125,183449560,1,3,4,134,8,Loyal,162
i++YveHizQi4Aqivhhc/zj4LI6r2T+z7wTOoicDgOdk=,Female,55,Adults (35-59),84,13,33407600,4,3,4,434,11,Champions,163
E7t0V4izX2qpqQZZdcRg6oG940nDJrNUiKzMqgVmisQ=,Male,39,Adults (35-59),73,5,5202980,4,3,4,434,11,Champions,164
NdFwiG2gjknUvoHypxZhd4LSqFQlO5HZdZznITcFzmw=,Male,45,Adults (35-59),91,2,2609500,4,1,3,413,8,Loyal,165
i++YveHizQi4Aqivhhc/zj4LI6r2T+z7wTOoicDgOdk=,Male,19,Young Adults (18-34),84,13,33407600,4,3,4,434,11,Champions,166
i++YveHizQi4Aqivhhc/zj4LI6r2T+z7wTOoicDgOdk=,Female,62,Seniors (60+),84,13,33407600,4,3,4,434,11,Champions,167
i++YveHizQi4Aqivhhc/zj4LI6r2T+z7wTOoicDgOdk=,Female,28,Young Adults (18-34),84,13,33407600,4,3,4,434,11,Champions,168
MG1Qw6OVzh4Q08EPw92aHWLUa11TonoX7cts57fxkpQ=,Male,29,Young Adults (18-34),83,2,2497200,4,1,3,413,8,Loyal,169
